codigo,descricao
101,"Membro do Poder Executivo (Presidente da República, Vice-Presidente da República, Ministro de Estado, Governador, Vice-Governador, Prefeito, Vice-Prefeito"
102,"Membro do Poder Judiciário (Ministro, Juiz e Desembargador) e de Tribunal de Contas (Ministro e Conselheiro)"
103,"Membro do Poder Legislativo (Senador, Deputado Federal, Deputado Estadual e Vereador)"
104,Membro do Ministério Público (Procurador e Promotor)
105,"Dirigente superior da administração pública (ocupante de cargo de direção, chefia, assessoria e de natureza especial), inclusive os das fundações públicas e autarquias"
106,Diplomata e afins
107,Servidor das carreiras do Poder Legislativo
108,Servidor das carreiras do Ministério Público
109,"Servidor das carreiras do  Poder Judiciário, Oficial de Justiça, Auxiliar, Assistente e Analista Judiciário"
110,"Advogado do setor público, Advogado da União, Procurador da Fazenda, Consultor Jurídico, Procurador de autarquias e fundações públicas, Defensor Público"
111,Servidor das carreiras de auditoria fiscal e de fiscalização
112,"Servidor das carreiras do Banco Central, CVM e Susep"
113,"Delegado de Polícia e outros servidores das carreiras de polícia, exceto militar"
114,"Servidor das carreiras de gestão governamental, analista, gestor e técnico de planejamento"
115,Servidor das carreiras de ciência e tecnologia
116,"Servidor das demais carreiras da administração pública direta, autárquica e fundacional"
117,Titular de Cartório
118,"Dirigente ou administrador de partido político, organização patronal, sindical, filantrópica e religiosa"
120,"Dirigente, presidente e diretor de empresa industrial, comercial ou prestadora de serviços"
121,Presidente e diretor de empresa pública e sociedade de economia mista
130,"Gerente ou supervisor de empresa industrial, comercial ou prestadora de serviços"
131,Gerente ou supervisor de empresa pública e sociedade de economia mista
140,"Presidente, diretor, gerente e supervisor de organismo internacional e de organização não governamental"
211,"Matemático, estatístico, atuário e afins"
212,"Analista de sistemas, desenvolvedor de software, administrador de redes e bancos de dados e outros especialistas em informática (exceto técnico)"
213,"Físico, químico, meteorologista, geólogo, oceanógrafo e afins"
214,"Engenheiro, arquiteto e afins"
215,"Piloto de aeronaves, comandante de embarcações e oficiais de máquinas"
221,"Biólogo, biomédico e afins"
222,Agrônomo e afins
224,Profissional da educação física (exceto professor)
225,Médico
226,Odontólogo
227,"Enfermeiro de nível superior, nutricionista, farmacêutico e afins"
228,"Veterinário, patologista (veterinário) e zootecnista"
229,"Fonoaudiólogo, fisioterapeuta, terapeuta ocupacional e afins"
241,Advogado
250,Sociólogo e cientista político
251,Antropólogo e arqueólogo
252,"Economista, administrador, contador, auditor e afins"
253,"Profissional de relações públicas, de marketing, de publicidade e de comercialização"
254,Psicanalista
255,Psicólogo
256,Geógrafo
257,Historiador
258,Assistente social e economista doméstico
259,Filósofo
261,Jornalista e repórter
263,Sacerdote ou membro de ordens ou seitas religiosas
264,"Tradutor, intérprete, filólogo"
265,"Bibliotecário, documentalista, arquivólogo, museólogo"
266,"Escritor, crítico, redator"
271,"Locutor, comentarista"
272,"Ator, diretor de espetáculos"
273,Cantor e compositor
274,"Músico, arranjador, regente de orquestra ou coral"
