sigla,nome,link
STF,Supremo Tribunal Federal,https://www.cnj.jus.br/poder-judiciario/tribunais/supremo-tribunal-federal-stf/
STJ,Superior Tribunal de Justiça,https://www.cnj.jus.br/poder-judiciario/tribunais/superior-tribunal-de-justica-stj/
CJF,Conselho da Justiça Federal,https://www.cnj.jus.br/poder-judiciario/tribunais/conselho-da-justica-federal-cjf/
STM,Superior Tribunal Militar,https://www.cnj.jus.br/poder-judiciario/tribunais/superior-tribunal-militar-stm/
TST,Tribunal Superior do Trabalho,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-superior-do-trabalho-tst/
CSJT,Conselho Superior da Justiça do Trabalho,https://www.cnj.jus.br/poder-judiciario/tribunais/conselho-superior-da-justica-do-trabalho-csjt/
TSE,Tribunal Superior Eleitoral,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-superior-eleitoral-tse/
TRF1,Tribunal Regional Federal da 1ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-federal-da-1a-regiao-trf1/
TRF2,Tribunal Regional Federal da 2ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-federal-da-2a-regiao-trf2/
TRF3,Tribunal Regional Federal da 3ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-federal-da-3a-regiao-trf3/
TRF4,Tribunal Regional Federal da 4ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-federal-da-4a-regiao-trf4/
TRF5,Tribunal Regional Federal da 5ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-federal-da-5a-regiao-trf5/
TRF6,Tribunal Regional Federal da 6ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-federal-da-6a-regiao-trf6/
TJAC,Tribunal de Justiça do Acre,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-acre/
TJAL,Tribunal de Justiça de Alagoas,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-de-alagoas-tjal/
TJBA,Tribunal de Justiça da Bahia,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-da-bahia-tjba/
TJCE,Tribunal de Justiça do Ceará,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-ceara-tjce/
TJDFT,Tribunal de Justiça do Distrito Federal e Territórios,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-distrito-federal-e-territorios-tjdft/
TJES,Tribunal de Justiça do Espírito Santo,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-espirito-santo-tjes/
TJGO,Tribunal de Justiça de Goiás,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-de-goias-tjgo/
TJMA,Tribunal de Justiça do Maranhão,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-maranhao-tjma/
TJMT,Tribunal de Justiça de Mato Grosso,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-de-mato-grosso-tjmt/
TJMS,Tribunal de Justiça de Mato Grosso do Sul,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-de-mato-grosso-do-sul-tjms/
TJMG,Tribunal de Justiça de Minas Gerais,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-de-minas-gerais-tjmg/
TJPA,Tribunal de Justiça do Pará,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-para-tjpa/
TJPB,Tribunal de Justiça da Paraíba,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-da-paraiba-tjpb/
TJPR,Tribunal de Justiça do Paraná,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-parana-tjpr/
TJPE,Tribunal de Justiça de Pernambuco,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-da-justica-de-pernambuco-tjpe/
TJPI,Tribunal de Justiça do Piauí,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-piaui-tjpi/
TJRJ,Tribunal de Justiça do Rio de Janeiro,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-rio-de-janeiro-tjrj/
TJRN,Tribunal de Justiça do Rio Grande do Norte,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-rio-grande-do-norte-tjrn/
TJRS,Tribunal de Justiça do Rio Grande do Sul,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-rio-grande-do-sul-tjrs/
TJRO,Tribunal de Justiça de Rondônia,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-de-rondonia-tjro/
TJRR,Tribunal de Justiça de Roraima,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-de-roraima-tjrr/
TJSC,Tribunal de Justiça de Santa Catarina,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-de-santa-catarina-tjsc/
TJSP,Tribunal de Justiça de São Paulo,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-de-sao-paulo-tjsp/
TJSE,Tribunal de Justiça de Sergipe,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-de-sergipe-tjse/
TJTO,Tribunal de Justiça do Tocantins,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-tocantins-tjto/
TREAC,Tribunal Regional Eleitoral do Acre,http://www.tre-ac.jus.br/
TREAL,Tribunal Regional Eleitoral de Alagoas,http://www.tre-al.jus.br/
TREAP,Tribunal Regional Eleitoral do Amapá,http://www.tre-ap.jus.br/
TREAM,Tribunal Regional Eleitoral do Amazonas,http://www.tre-am.jus.br/
