field_name,field_type
marca,text
proprietario,text
outros_proprietarios,text
sg_uf,text
cpf_cnpj,text
nm_operador,text
outros_operadores,text
uf_operador,text
cpf_cgc,text
nr_cert_matricula,text
nr_serie,text
cd_categoria,text
cd_tipo,text
ds_modelo,text
nm_fabricante,text
cd_cls,text
nr_pmd,text
cd_tipo_icao,text
nr_tripulacao_min,integer
nr_passageiros_max,integer
nr_assentos,float
nr_ano_fabricacao,integer
dt_validade_iam,text
dt_validade_ca,text
dt_canc,datetime
ds_motivo_canc,text
cd_interdicao,text
cd_marca_nac1,text
cd_marca_nac2,text
cd_marca_nac3,text
cd_marca_estrangeira,text
ds_gravame,text
dt_matricula,text
