field_name,field_type
marca,text
proprietario,text
cpf_cnpj,text
outros_proprietarios,text
nm_operador,text
cpf_cgc,text
outros_operadores,text
cod_fabricante,text
nm_fabricante,text
nm_fabricante_rab,text
nr_ano_fabricacao,text
ds_modelo,text
ds_modelo_rab,text
nr_assentos,text
nr_tripulacao_min,text
nr_passageiros_max,text
nr_serie,text
nr_cert_matricula,text
ds_motivo_canc,text
dt_canc,text
gra,text
ds_gravame,text
moeda,text
valor,text
proprietario_tipo_pessoa,text
operador_tipo_pessoa,text
